,Monthly_Return,DPCCRAM1M225NBEA
2007-11-01,15.162441360271961,0.1
2008-01-01,7.68214521010433,0.1
2008-02-01,-5.837309371950039,-0.3
2008-04-01,-29.151228142710607,0.4
2008-07-01,-28.378054853987646,-0.3
2008-08-01,25.968495661769133,0.1
2008-09-01,2.8002849318143674,-0.6
2008-10-01,-2.389517513422812,-0.5
2008-12-01,-31.059444016019622,-0.2
2009-04-01,2.1130962655326435,-0.1
2009-06-01,75.1415602605991,0.1
2009-07-01,1.0385100523913282,0.4
2009-09-01,-1.0117313072941392,-1.1
2009-10-01,20.114003336614704,0.0
2009-12-01,4.4001560476051305,0.2
2010-02-01,-6.504200468698218,0.3
2010-04-01,9.925718621653123,0.2
2010-06-01,-4.088252220221289,0.2
2010-07-01,2.52604522181461,0.3
2010-09-01,16.368426960132098,0.1
2010-10-01,15.41395608391236,0.4
2010-11-01,1.4187550552659411,0.1
2010-12-01,-3.3306146014102977,0.0
2011-02-01,-14.861398812266224,0.2
2011-03-01,3.8564287774546013,0.3
2011-04-01,6.481619373354319,-0.1
2011-06-01,-4.81021350367582,0.1
2011-07-01,2.0084402046925742,0.1
2011-08-01,-2.8076389875460017,0.1
2011-11-01,-10.208888065542233,-0.1
2011-12-01,-9.437249467408149,0.1
2012-02-01,11.846709749431138,0.5
2012-03-01,3.415392588753563,0.0
2012-06-01,-9.926239436765162,-0.1
2012-08-01,12.433645323079269,0.1
2012-10-01,9.602296339309891,-0.1
2012-11-01,-0.9229114258846649,0.6
2013-01-01,0.0,0.2
2013-02-01,11.411355791862743,-0.1
2013-03-01,-8.457708590499568,-0.1
2013-04-01,-0.9921998031982793,0.2
2013-07-01,2.532490990942371,0.2
2013-08-01,-13.418388369145495,0.2
2013-10-01,-2.559910882941052,0.3
2013-11-01,17.659601949536395,0.3
2014-01-01,0.0,-0.5
2014-04-01,8.254173808189712,0.2
2014-07-01,21.709100840920502,0.3
2014-08-01,-1.2632705486178675,0.6
2014-09-01,5.850153709891681,0.1
2014-10-01,-4.350263181754032,0.5
2014-12-01,20.952329399956216,0.4
2015-01-01,0.0,0.1
2015-04-01,0.0,0.3
2015-06-01,0.49498968753447503,0.1
2015-07-01,-0.1901530979546151,0.4
2015-09-01,-11.039401419386706,0.0
2015-10-01,0.0,0.2
2015-12-01,0.0,0.3
2016-01-01,0.0,0.0
2016-02-01,0.0,0.7
2016-03-01,0.0,-0.3
2016-04-01,0.0,0.1
2016-06-01,0.0,0.4
2016-07-01,0.0,0.2
2016-08-01,0.0,0.1
2016-09-01,0.0,0.4
2016-11-01,0.0,0.2
2016-12-01,0.0,0.5
2017-02-01,21.114547604135247,0.0
2017-03-01,3.8118213209267227,0.3
2017-06-01,12.155653009737687,0.3
2017-08-01,7.776226184227086,0.0
2017-09-01,-2.741728736346838,0.5
2017-11-01,4.32367926573376,0.6
2017-12-01,-1.17102514716928,0.5
2018-01-01,0.0,0.0
2018-02-01,8.053168647853393,0.4
2018-03-01,-8.516122311450026,0.0
2018-06-01,7.189019757326265,0.1
2018-08-01,3.385930106471613,0.2
2018-10-01,-8.079256609213903,0.2
2018-11-01,-0.17089176093901814,0.5
2019-01-01,0.0,0.2
2019-02-01,6.959106581105834,0.2
2019-03-01,-0.15524401906498175,0.6
2019-04-01,12.138044516454238,0.0
2019-07-01,3.4481317274359435,0.3
2019-08-01,-9.57838188080602,0.3
2019-10-01,1.2629009246864387,0.0
2019-11-01,5.58755065890999,0.6
2020-01-01,0.0,0.5
2020-04-01,-39.966966453046815,-10.9
2020-06-01,9.6194857066497,6.3
2020-07-01,10.10876425466456,1.4
2020-09-01,8.346681595677374,1.5
2020-10-01,-6.576510614637998,0.4
2020-12-01,34.03690312514917,0.3
2021-01-01,0.0,1.1
2021-02-01,10.97061669988333,-1.1
2021-03-01,6.669721117415817,4.5
2021-04-01,-4.074119121838238,0.7
2021-06-01,4.368836996917391,0.8
2021-07-01,-1.8484741379174552,-0.1
2021-09-01,5.450061330857925,0.4
2021-10-01,1.7815718022768934,0.8
2021-11-01,6.817441312379047,0.2
2021-12-01,-8.547614093529843,-0.3
2022-02-01,5.8864430903921905,0.2
2022-04-01,-3.524172407193893,0.3
2022-06-01,-4.11240701010821,0.1
2022-07-01,-5.8430812147522655,0.2
2022-08-01,13.010798161701054,0.5
2022-09-01,3.6884787194046975,0.3
2022-11-01,5.059127803269314,-0.4
2022-12-01,4.773840154447373,0.1
2023-02-01,-6.350289766210581,0.0
2023-03-01,0.4570099424875851,-0.4
2023-06-01,7.5975219995830345,0.3
2023-08-01,4.115762917602805,0.0
2023-09-01,-2.5363786521906073,0.4
2023-11-01,-3.9048257677149145,0.5
2023-12-01,4.948953216851915,0.5
2024-01-01,0.0,-0.3
2024-02-01,3.0669949323054446,0.5
2024-03-01,2.3777487264521335,0.3
2024-04-01,0.6161359099963182,0.0
